Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New_Recovered,Active Cases,Serious/Critical Cases,Total Cases per million,Deaths per million,Total Tests,Tests per million,Population
North America,"47,417,485","+233,466","987,247","+2,434","37,342,814","+90,986","9,087,424","32,016",,,,,
Asia,"69,138,050","+265,505","1,019,904","+4,088","64,359,416","+228,809","3,758,730","41,364",,,,,
South America,"36,804,981","+37,070","1,126,911","+1,103","34,582,975","+32,438","1,095,095","23,384",,,,,
Europe,"54,882,553","+140,028","1,167,733","+1,483","49,910,380","+143,987","3,804,440","11,257",,,,,
Africa,"7,763,817","+33,956","193,805",+764,"6,840,517","+33,126","729,495","4,567",,,,,
Oceania,"156,116","+1,251","2,081",+28,"112,692",+481,"41,343",231,,,,,
World,"216,163,723","+711,276","4,497,696","+9,900","193,149,500","+529,827","18,516,527","112,819","27,732",577.0,,,
USA,"39,540,401","+190,370","653,405","+1,304","30,786,368","+54,248","8,100,628","24,809","118,654","1,961","577,474,238","1,732,901","333,241,357"
India,"32,649,130","+46,805","437,403",+514,"31,845,313","+31,341","366,414","8,944","23,394",313,"514,954,309","368,973","1,395,642,554"
Brazil,"20,703,906","+27,345","578,396",+791,"19,629,675","+20,172","495,835","8,318","96,611","2,699","56,580,445","264,022","214,301,783"
Russia,"6,844,049","+19,509","180,041",+798,"6,112,035","+19,217","551,973","2,300","46,875","1,233","177,100,000","1,212,958","146,006,695"
France,"6,711,268","+18,249","114,083",+95,"6,170,720","+25,432","426,465","2,270","102,556","1,743","121,518,857","1,856,945","65,440,194"
UK,"6,666,399","+38,046","132,243",+100,"5,298,660","+47,486","1,235,496",982,"97,608","1,936","266,714,771","3,905,199","68,297,355"
Turkey,"6,311,637","+18,340","55,713",+244,"5,786,139","+14,528","469,785",633,"73,920",652,"75,280,437","881,660","85,384,918"
Argentina,"5,167,733","+5,807","111,270",+153,"4,846,795","+8,050","209,668","2,952","113,144","2,436","21,815,621","477,639","45,673,847"
